datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-21 17:05:00,1331462.7880980072,2365833.979499994,738199.0586041333,4784630.028476013,2538089.523644015,135575,344540.0
2016-11-21 17:10:00,1319187.6024139829,2350644.168114964,737743.7748768689,4776290.018078024,2530528.0590880173,134978,343365.25
2016-11-21 17:15:00,1319795.410332979,2347741.3256000024,739499.4238287059,4782082.053293011,2535165.388184017,134901,343349.5
2016-11-21 17:20:00,1321222.1051590126,2313673.2395049348,739430.5912056341,4778238.915492013,2530056.481396016,134469,342688.5
2016-11-21 17:25:00,1375939.0964929983,2472371.5037860004,740381.9817395649,4769207.472613012,2525245.941779012,133597,341174.5
2016-11-21 17:30:00,1405138.1780930338,2484372.498420995,740652.3835836878,4766013.077371012,2522141.168595008,133302,339649.25
2016-11-21 17:35:00,1422034.9383810195,2504324.27432196,741911.3274090857,4774266.840172003,2527253.368106008,133805,341458.5
2016-11-21 17:40:00,1398959.5617539985,2506152.719511955,741804.1921120356,4775167.426388009,2526935.0153710083,134045,341885.5
2016-11-21 17:45:00,1406853.9334240258,2490809.665596972,741950.6478679352,4777731.843486011,2526339.4747710107,133909,340566.0
2016-11-21 17:50:00,1397827.2477919774,2467596.6487620217,740464.3934098226,4766322.149768022,2516271.876235008,133112,339046.5
2016-11-21 17:55:00,1372140.9271390005,2421524.3407679894,741107.8892661462,4770425.116825016,2518777.0630630096,133250,339781.5
2016-11-21 18:00:00,1331510.7613479777,2359296.508154,741261.170368803,4768743.3217770215,2516457.617407009,132951,339300.75
2016-11-21 18:05:00,1327738.211468007,2342291.17235397,742153.7325001416,4767437.680193023,2513982.1982610123,132725,338520.25
2016-11-21 18:10:00,1325765.7927459965,2340467.114734984,744114.0299097724,4777745.083338013,2522236.732478009,133177,339724.25
2016-11-21 18:15:00,1325373.2447349916,2319860.814101019,744705.5010475963,4777673.0511260135,2521447.802623011,133020,339321.5
2016-11-21 18:20:00,1310135.8359070015,2307579.954637032,747230.0986792754,4789964.9006780125,2530888.418302013,133601,340096.25
2016-11-21 18:25:00,1326624.332102011,2380881.678522021,749030.4561160596,4801712.513384007,2538823.5190300154,134363,341393.75
2016-11-21 18:30:00,1335932.6929860206,2344512.316232989,756321.0617925205,4838296.614566011,2570829.9474900197,135533,343118.25
2016-11-21 18:35:00,1343271.8968670052,2349738.522877022,758716.8993473575,4841360.729433014,2575550.1367440126,134927,341972.75
2016-11-21 18:40:00,1344344.857003017,2350499.535976949,759409.8046036435,4840024.984938012,2575115.761123012,134764,341934.5
2016-11-21 18:45:00,1345393.8482060204,2351409.957643997,761185.3283860281,4843469.736076017,2578007.466060011,134547,341549.75
2016-11-21 18:50:00,1345375.6764989768,2352089.7153699654,767228.5160369619,4869230.857410015,2599202.2821340086,135023,342330.75
2016-11-21 18:55:00,1342877.972768999,2386899.4635950206,766728.6542390467,4865091.569643017,2593741.2009210093,134527,341190.75
2016-11-21 19:00:00,1325725.8674900194,2344303.612811983,766017.8607489443,4860955.156799016,2588871.08447201,134485,341709.25
2016-11-21 19:05:00,1329791.232189001,2338561.4765989305,762553.0760078536,4842618.246896016,2571653.109207013,132989,339064.25
2016-11-21 19:10:00,1335278.3467570103,2375721.202617999,766631.8429572157,4860550.933663025,2587059.5964240124,133598,340390.0
2016-11-21 19:15:00,1342979.2699780024,2356197.5048460006,766093.6741486889,4855200.983043019,2580572.4077730123,133283,339711.75
2016-11-21 19:20:00,1338128.4224359975,2349796.136388001,766836.4171872465,4848575.499986027,2573931.503347017,132533,337899.25
2016-11-21 19:25:00,1359873.501549014,2424236.6229830137,767686.2639901655,4849614.0382320285,2573077.8372290144,132478,337719.0
2016-11-21 19:30:00,1336833.2234869758,2361825.786530021,770003.7151705497,4862970.284706022,2583284.9859460155,133083,338984.75
2016-11-21 19:35:00,1340850.0531529898,2364141.3813020154,770712.7963954626,4864767.123849026,2584031.876201018,133033,338859.25
2016-11-21 19:40:00,1339345.9425969953,2379672.579417006,771910.7696538989,4870971.378008017,2589578.3360870183,133240,339266.5
2016-11-21 19:45:00,1335843.159161034,2355493.63941296,774170.9733699411,4881031.926404012,2596462.431663016,133667,340051.75
2016-11-21 19:50:00,1339588.052069006,2362606.5027549984,774953.0347273459,4891365.905017006,2603339.383644022,133878,340449.0
2016-11-21 19:55:00,1337734.874233022,2386749.6771970303,773998.9003648612,4892079.930945009,2602414.2296180218,133814,340458.0
2016-11-21 20:00:00,1322981.6433719904,2344295.9198619747,772788.3054563157,4890126.281154009,2599680.955586016,133398,339880.0
2016-11-21 20:05:00,1333081.4176929807,2339608.3000699654,771614.7445124282,4888582.5282570105,2597965.3309180127,133422,340022.0
2016-11-21 20:10:00,1332934.1238469938,2367202.8014059914,773045.7005562684,4898313.632773001,2605006.2125140103,134158,341407.0
2016-11-21 20:15:00,1336956.1632729955,2349587.2192259976,773729.8266164021,4898056.868995999,2604689.150713012,134034,341230.0
2016-11-21 20:20:00,1342358.90088099,2339251.579881969,773392.526620944,4895668.267825003,2601572.047827016,134039,341145.75
2016-11-21 20:25:00,1375806.0496380222,2435541.5689519825,770462.1150558009,4890178.3340110015,2595821.243786014,134034,341231.0
2016-11-21 20:30:00,1367600.328059984,2375776.068298992,771131.6565764982,4889220.890503006,2594304.141990013,134006,341264.0
2016-11-21 20:35:00,1344853.9997430255,2352157.652836,770634.7355222476,4887606.733859006,2592928.314716013,134106,341438.0
2016-11-21 20:40:00,1338997.871238007,2379784.112509984,769983.2595897366,4882325.154130011,2588757.4454750125,133599,340552.75
2016-11-21 20:45:00,1334415.610160014,2357549.9352200218,769427.3165049572,4883625.005349014,2589576.6323160124,133771,340803.75
2016-11-21 20:50:00,1342455.7288680198,2431317.9043690134,769979.7082433819,4901757.345610014,2603248.10994501,135500,345121.5
